name,e3_ligase,smiles,ligand_class,source,exit_vector_confidence,stereochemistry_valid,source_confidence,diversity_score,known_degrader_usage,article_doi,uniprot,activity_nM,attachment_point
RG7388,MDM2,COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jm400487c),0.75,true,0.7,0.5,,10.1021/jm400487c,Q00987,6,approximate (construction appends [*:1])
RG7112,MDM2,CCOc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jm401753e),0.75,true,0.7,0.5,,10.1021/jm401753e,Q00987,2.9,approximate (construction appends [*:1])
VH032,VHL,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1038/ncomms13312),0.75,true,0.7,0.5,,10.1038/ncomms13312,P40337,185/150,approximate (construction appends [*:1])
VH298,VHL,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(C#N)CC2)C(C)(C)C)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1038/ncomms13312),0.75,true,0.7,0.5,,10.1038/ncomms13312,P40337,90/80,approximate (construction appends [*:1])
VH101,VHL,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.7b00675),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.7b00675,P40337,44/90,approximate (construction appends [*:1])
VHL-1,VHL,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(-c2scnc2C)cc1)C(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b01572),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b01572,P40337,196,approximate (construction appends [*:1])
VHL_ligand_15,VHL,CC(=O)N[C@H](C(=O)N1C[C@H](O)[C@H](F)[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jacs.8b05807),0.75,true,0.7,0.5,,10.1021/jacs.8b05807,P40337,244,approximate (construction appends [*:1])
VHL_ligand_16,VHL,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(Cl)cc1)C(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b01572),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b01572,P40337,7867,approximate (construction appends [*:1])
VHL_ligand_17,VHL,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(C#N)cc1)C(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b01572),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b01572,P40337,4827,approximate (construction appends [*:1])
VHL_ligand_18,VHL,C#Cc1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(C)=O)C(C)(C)C)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b01572),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b01572,P40337,879,approximate (construction appends [*:1])
VHL_ligand_19,VHL,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(C2CC2)cc1)C(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b01572),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b01572,P40337,6112,approximate (construction appends [*:1])
VHL_ligand_20,VHL,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(C(C)C)cc1)C(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b01572),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b01572,P40337,41001,approximate (construction appends [*:1])
VHL_ligand_21,VHL,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(C(C)(C)C)cc1)C(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b01572),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b01572,P40337,58897,approximate (construction appends [*:1])
VHL_ligand_22,VHL,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(C)=O)C(C)(C)C)c1ccc(-c2scnc2C)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b01631),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b01631,P40337,130,approximate (construction appends [*:1])
VHL_ligand_23,VHL,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(-c2scnc2C)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b01631),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b01631,P40337,26.8,approximate (construction appends [*:1])
VHL_ligand_24,VHL,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)C1(F)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b01631),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b01631,P40337,190,approximate (construction appends [*:1])
VHL_ligand_25,VHL,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)C1(C#N)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b01631),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b01631,P40337,28.6,approximate (construction appends [*:1])
VHL_ligand_26,VHL,CNC(=O)C[C@@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)C1(F)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b01631),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b01631,P40337,179,approximate (construction appends [*:1])
VHL_ligand_27,VHL,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](NC(=O)C1(F)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b01631),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b01631,P40337,78,approximate (construction appends [*:1])
VL285,VHL,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](C(C)C)N2Cc3ccccc3C2=O)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acschembio.5b00442),0.75,true,0.7,0.5,,10.1021/acschembio.5b00442,P40337,340,approximate (construction appends [*:1])
VHL_ligand_29,VHL,C#Cc1ccc([C@H](CC(=O)NC)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](c2cc(C)no2)C(C)C)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.9b01393),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.9b01393,P40337,210,approximate (construction appends [*:1])
VHL_ligand_30,VHL,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(C#N)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.9b01393),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.9b01393,P40337,1080,approximate (construction appends [*:1])
VHL_ligand_31,VHL,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(Br)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.9b01393),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.9b01393,P40337,980,approximate (construction appends [*:1])
VHL_ligand_32,VHL,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(Cl)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.9b01393),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.9b01393,P40337,2520,approximate (construction appends [*:1])
VHL_ligand_33,VHL,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(F)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.9b01393),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.9b01393,P40337,10500,approximate (construction appends [*:1])
VHL_ligand_34,VHL,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccccc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.9b01393),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.9b01393,P40337,9900,approximate (construction appends [*:1])
VHL_ligand_35,VHL,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(C)=O)C(C)C)c1ccccc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.9b01393),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.9b01393,P40337,>100000,approximate (construction appends [*:1])
Nutlin-3B,MDM2,COc1ccc(C2=N[C@H](c3ccc(Cl)cc3)[C@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,literature_e3_ligand,e3_ligand.csv (DOI 10.1126/science.1092472),0.75,true,0.7,0.5,,10.1126/science.1092472,Q00987,13600,approximate (construction appends [*:1])
bestatin,cIAP1,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,literature_e3_ligand,e3_ligand.csv (DOI 10.1016/j.bmcl.2008.04.031),0.75,true,0.7,0.5,,10.1016/j.bmcl.2008.04.031,Q13490,,approximate (construction appends [*:1])
cIAP1_ligand_38,cIAP1,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](N)C[C@H]1C(=O)Nc1c(F)cccc1F)C(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1016/j.bmcl.2020.127106),0.75,true,0.7,0.5,,10.1016/j.bmcl.2020.127106,Q13490,,approximate (construction appends [*:1])
XIAP_ligand_39,XIAP,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jm040037k),0.75,true,0.7,0.5,,10.1021/jm040037k,P98170,16,approximate (construction appends [*:1])
DCAF16_ligand_40,DCAF16,COc1ccc2c(c1)CCCN2C(=O)CCl,literature_e3_ligand,e3_ligand.csv (DOI 10.1016/j.cell.2017.08.051),0.75,true,0.7,0.5,,10.1016/j.cell.2017.08.051,Q9NXF7,,approximate (construction appends [*:1])
beta-naphthoflavone,AhR,O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jm101356p),0.75,true,0.7,0.5,,10.1021/jm101356p,P35869,,approximate (construction appends [*:1])
alpha-naphthoflavone,AhR,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,literature_e3_ligand,e3_ligand.csv,0.75,true,0.7,0.5,,,P35869,,approximate (construction appends [*:1])
ITE,AhR,COC(=O)c1csc(C(=O)c2c[nH]c3ccccc23)n1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acschembio.9b00704),0.75,true,0.7,0.5,,10.1021/acschembio.9b00704,P35869,,approximate (construction appends [*:1])
IAP_ligand_44,IAP,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCN(C)CC1,literature_e3_ligand,e3_ligand.csv,0.75,true,0.7,0.5,,,,,approximate (construction appends [*:1])
Nutlin-3A,MDM2,COc1ccc(C2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,literature_e3_ligand,e3_ligand.csv (DOI 10.1126/science.1092472),0.75,true,0.7,0.5,,10.1126/science.1092472,Q00987,90,approximate (construction appends [*:1])
MV1,cIAP1,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)OC)C(c1ccccc1)c1ccccc1)C1CCCCC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1016/j.cell.2007.10.030),0.75,true,0.7,0.5,,10.1016/j.cell.2007.10.030,Q13490,5.8/1,approximate (construction appends [*:1])
LCL161 derivative,cIAP1,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2cccc(OC)c2)cs1)C1CCCCC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acsmedchemlett.7b00247),0.75,true,0.7,0.5,,10.1021/acsmedchemlett.7b00247,Q13490,4.8,approximate (construction appends [*:1])
XIAP_ligand_48,XIAP,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](Oc2ccccc2)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jm040037k),0.75,true,0.7,0.5,,10.1021/jm040037k,P98170,6,approximate (construction appends [*:1])
XIAP_ligand_49,XIAP,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H](Oc2ccccc2)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1074/jbc.RA117.001091),0.75,true,0.7,0.5,,10.1074/jbc.RA117.001091,P98170,,approximate (construction appends [*:1])
cIAP1_ligand_50,cIAP1,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1C[C@H]2CC[C@@H]1N(CCc1ccccc1)C2)C1CCCCC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1016/j.bmcl.2011.12.109),0.75,true,0.7,0.5,,10.1016/j.bmcl.2011.12.109,Q13490,4,approximate (construction appends [*:1])
XIAP_ligand_51,XIAP,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc(F)c3ccccc23)cs1)C1CCCCC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1016/j.bmcl.2010.02.021),0.75,true,0.7,0.5,,10.1016/j.bmcl.2010.02.021,P98170,19,approximate (construction appends [*:1])
XIAP_ligand_52,XIAP,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2c(-c3ccccc3)nccc2s1)C1CCCCC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1016/j.bmcl.2010.02.021),0.75,true,0.7,0.5,,10.1016/j.bmcl.2010.02.021,P98170,37,approximate (construction appends [*:1])
IAP_ligand_53,IAP,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cncc(-c2ccc(F)c(C(=O)O)c2)c1)C1CCCCC1,literature_e3_ligand,e3_ligand.csv,0.75,true,0.7,0.5,,,,,approximate (construction appends [*:1])
IAP_ligand_54,IAP,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cncc(-n2ccc3c(C(=O)O)cccc32)c1)C(C)C,literature_e3_ligand,e3_ligand.csv,0.75,true,0.7,0.5,,,,,approximate (construction appends [*:1])
GDC-0152,cIAP1,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jm300060k),0.75,true,0.7,0.5,,10.1021/jm300060k,Q13490,14500/17,approximate (construction appends [*:1])
IAP_ligand_56,IAP,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cncc(C(=O)c2ccc(F)cc2)c1)C1CCCCC1,literature_e3_ligand,e3_ligand.csv,0.75,true,0.7,0.5,,,,,approximate (construction appends [*:1])
CRBN_ligand_57,CRBN,Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,literature_e3_ligand,e3_ligand.csv (DOI 10.1002/cmdc.201800271),0.75,true,0.7,0.5,,10.1002/cmdc.201800271,Q96SW2,549,approximate (construction appends [*:1])
XIAP_ligand_58,XIAP,CN[C@@H](C)C(=O)N[C@H]1CCO[C@H]2CC(C)(C)[C@@H](C(=O)N[C@@H]3CCCc4ccccc43)N2C1=O,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/cb3005512),0.75,true,0.7,0.5,,10.1021/cb3005512,P98170,9640/100,approximate (construction appends [*:1])
CRBN_ligand_59,CRBN,O=C1CCC(N2C(=O)c3cccc4cccc(c34)C2=O)C(=O)N1,literature_e3_ligand,e3_ligand.csv (DOI 10.1002/cmdc.201800271),0.75,true,0.7,0.5,,10.1002/cmdc.201800271,Q96SW2,111,approximate (construction appends [*:1])
CCW 16,RNF4,COc1ccc(Oc2ccc(N(Cc3ccccc3)C(=O)CCl)cc2)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acschembio.8b01083),0.75,true,0.7,0.5,,10.1021/acschembio.8b01083,P78317,1800,approximate (construction appends [*:1])
CRBN_ligand_61,CRBN,CN1CCN(c2ccc(NC3CCC(=O)NC3=O)cc2)CC1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acsmedchemlett.9b00042),0.75,true,0.7,0.5,,10.1021/acsmedchemlett.9b00042,Q96SW2,<10000,approximate (construction appends [*:1])
CRBN_ligand_62,CRBN,O=C1CCC(n2c(=O)oc3ccccc32)C(=O)N1,literature_e3_ligand,e3_ligand.csv,0.75,true,0.7,0.5,,,Q96SW2,,approximate (construction appends [*:1])
S-Lenalidomide,CRBN,Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O,literature_e3_ligand,e3_ligand.csv (DOI 10.1038/nature13527),0.75,true,0.7,0.5,,10.1038/nature13527,Q96SW2,178,approximate (construction appends [*:1])
Nimbolide,RNF114,COC(=O)C[C@H]1[C@]2(C)C3=C(C)[C@H](c4ccoc4)C[C@H]3O[C@@H]2[C@@H]2OC(=O)[C@]3(C)C=CC(=O)[C@@]1(C)[C@@H]23,literature_e3_ligand,e3_ligand.csv (DOI 10.1038/s41589-019-0304-8),0.75,true,0.7,0.5,,10.1038/s41589-019-0304-8,Q9Y508,550,approximate (construction appends [*:1])
CRBN_ligand_65,CRBN,COc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,literature_e3_ligand,e3_ligand.csv (DOI 10.1016/j.bmcl.2012.10.071),0.75,true,0.7,0.5,,10.1016/j.bmcl.2012.10.071,Q96SW2,>1000,approximate (construction appends [*:1])
DCAF11_ligand_66,DCAF11,O=C(CCl)NC(C(=O)NCc1ccccc1)c1ccc(Cl)c(Cl)c1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jacs.1c00990),0.75,true,0.7,0.5,,10.1021/jacs.1c00990,Q8TEB1,,approximate (construction appends [*:1])
DCAF11_ligand_67,DCAF11,O=C(CCl)NC(C(=O)NCc1ccccc1)c1ccc(Cl)cc1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jacs.1c00990),0.75,true,0.7,0.5,,10.1021/jacs.1c00990,Q8TEB1,,approximate (construction appends [*:1])
IAP_ligand_68,IAP,CC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)NC)C(C)(C)C)c1ccccc1,literature_e3_ligand,e3_ligand.csv,0.75,true,0.7,0.5,,,,,approximate (construction appends [*:1])
XIAP_ligand_69,XIAP,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/jm040037k),0.75,true,0.7,0.5,,10.1021/jm040037k,P98170,12,approximate (construction appends [*:1])
IAP_ligand_70,IAP,CN[C@@H](C)C(=O)N[C@H]1CN(C(N)=O)CC[C@H]2CCC(C(=O)N[C@@H]3CCCc4ccccc43)N2C1=O,literature_e3_ligand,e3_ligand.csv,0.75,true,0.7,0.5,,,,,approximate (construction appends [*:1])
cIAP1_ligand_71,cIAP1,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3c2cc(Cc2ccc(F)cc2)c(=O)n3C)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.8b00900),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.8b00900,Q13490,180,approximate (construction appends [*:1])
AT-IAP,XIAP,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acs.jmedchem.6b01877),0.75,true,0.7,0.5,,10.1021/acs.jmedchem.6b01877,P98170,,approximate (construction appends [*:1])
PG,CRBN,O=C1CCC(c2ccccc2)C(=O)N1,literature_e3_ligand,e3_ligand.csv (DOI 10.1002/anie.202108848),0.75,true,0.7,0.5,,10.1002/anie.202108848,Q96SW2,2191,approximate (construction appends [*:1])
CRBN_ligand_74,CRBN,O=C1CCC(N2C(=O)c3cc4c(cc3C2=O)CNC4)C(=O)N1,literature_e3_ligand,e3_ligand.csv,0.75,true,0.7,0.5,,,Q96SW2,,approximate (construction appends [*:1])
CRBN_ligand_75,CRBN,O=C1CCC(N2Cc3cc4c(cc3C2=O)CNC4)C(=O)N1,literature_e3_ligand,e3_ligand.csv,0.75,true,0.7,0.5,,,Q96SW2,,approximate (construction appends [*:1])
SB57027,CRBN,O=C1CCN(c2ccccc2)C(=O)N1,literature_e3_ligand,e3_ligand.csv,0.75,true,0.7,0.5,,,Q96SW2,,approximate (construction appends [*:1])
AKOS018335184,CRBN,O=C1CCN(c2ccccc2Cl)C(=O)N1,literature_e3_ligand,e3_ligand.csv (DOI 10.1021/acsmedchemlett.1c00580),0.75,true,0.7,0.5,,10.1021/acsmedchemlett.1c00580,Q96SW2,,approximate (construction appends [*:1])
