Query_Name,Database_ID,Target_ID,Target_Name,Gene_Name,UniProt_ID,Query_Percentage,Target_Percentage,Polypharmacology_Type,Ligand_Name,Organism,original_target_smile,query_frag_smile,Query_SMILES
Hoechst,CHEMBL3884815,ChEMBL_T_2380,Vascular endothelial growth factor receptor 2 and 3 (KDR and Flt-4),CHEMBL2111409,P35968,57.14,80.0,Type 4,CHEMBL3884815 : ,Homo sapiens,COc1cc(-c2cc(CO)c3cc4c(cc3n2)OCCO4)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL202930,ChEMBL_T_2415,Vasopressin V1 receptor,CHEMBL2111456,P47901,42.86,60.0,Type 4,CHEMBL202930 : ,Homo sapiens,COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL3695663,ChEMBL_T_2487,Glycoprotein hormones alpha chain,CHEMBL2146305,P01215,51.43,72.0,Type 4,CHEMBL3695663 : ,Homo sapiens,CCNC(=O)Nc1ccc2ncc(-c3ccc(O)c(OC)c3)nc2n1,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL3318026,ChEMBL_T_1892,Microtubule-associated protein tau,CHEMBL1293224,P10636,51.43,66.67,Type 4,CHEMBL3318026 : ,Homo sapiens,COc1cc(-c2cnc3ccc(NC(=O)NC(C)(C)C)nc3c2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL3358999,ChEMBL_T_1600,Nuclear factor erythroid 2-related factor 2,CHEMBL1075094,Q16236,57.14,71.43,Type 4,CHEMBL3358999 : ,Homo sapiens,COc1cc(-c2c[nH]c(=O)c(-c3cc(OC)c(OC)c(OC)c3)n2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL1566387,ChEMBL_T_1319,Neuropeptide S receptor,CHEMBL5162,Q6W5P4,37.14,56.52,Type 4,CHEMBL1566387 : ,Mus musculus,CCN1CCN(C2=C(Cl)C(=O)N(c3ccc(Cl)nc3)C2=O)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL3823214,ChEMBL_T_2238,Runt-related transcription factor 1/Core-binding factor subunit beta,CHEMBL2093862,Q13951,37.14,56.52,Type 4,CHEMBL3823214 : ,Homo sapiens,CCN1CCN(/C=C2\CCn3c2nc(=O)c2ccccc23)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL1319884,ChEMBL_T_2044,Ataxin-2,CHEMBL1795085,Q99700,40.0,60.87,Type 4,CHEMBL1319884 : ,Homo sapiens,CCN1CCN(c2ccc(NC(=O)c3cnccn3)cc2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL5219525,ChEMBL_T_2266,Adenosine A2 receptor,CHEMBL2094257,P29274,60.0,87.5,Type 4,CHEMBL5219525 : ,Saccharomyces cerevisiae,CCN1CCN(C(=O)c2cccc3c2-c2ccccc2C3=O)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL2337038,ChEMBL_T_2003,Bromodomain adjacent to zinc finger domain protein 2B,CHEMBL1741220,Q9UIF8,45.71,59.26,Type 4,CHEMBL2337038 : ,Homo sapiens,CCN1CCN(c2ccc([N+](=O)[O-])cc2NC(=O)c2ccccc2Cl)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL3605436,ChEMBL_T_2486,"Glutaminase kidney isoform, mitochondrial",CHEMBL2146302,O94925,77.14,75.0,Type 4,CHEMBL3605436 : ,Homo sapiens,COc1cc(-c2nnc(-c3ccc4c(c3)CO[C@@]4(CCCN(C)C)c3ccc(F)cc3)[nH]2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL4556155,ChEMBL_T_2259,Gamma-secretase,CHEMBL2094135,P49810,54.29,63.33,Type 4,CHEMBL4556155 : ,Homo sapiens,CCN1CCN(C(c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)c2ccccn2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL4522859,ChEMBL_T_2264,DNA topoisomerase II,CHEMBL2094255,Q02880,60.0,67.74,Type 4,CHEMBL4522859 : ,Saccharomyces cerevisiae,CCN1CCN(CCCNC(=S)Nc2ccc3nc(N(C)CCN)cc(C)c3c2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL5169884,ChEMBL_T_2237,Menin/Histone-lysine N-methyltransferase MLL,CHEMBL2093861,Q03164,51.43,58.06,Type 4,CHEMBL5169884 : ,Saccharomyces cerevisiae,CCN1CCN(c2ncnc3[nH]c(-c4ccc(OCc5ccccc5)cc4)cc23)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL4291849,ChEMBL_T_2001,DNA dC->dU-editing enzyme APOBEC-3G,CHEMBL1741217,Q9HC16,57.14,62.5,Type 4,CHEMBL4291849 : ,Homo sapiens,CCN1CCN(CCNC2CCN(c3cccc(-c4cc5ccccc5[nH]4)c3)CC2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL4066774,ChEMBL_T_2581,Potassium channel subfamily K member 3,CHEMBL2321613,O14649,71.43,73.53,Type 4,CHEMBL4066774 : ,Homo sapiens,CCN1CCN(C(=O)c2ccc([C@H]3CN(Cc4c(C)cccc4F)C[C@@H]3N(C)C)cc2C)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL215842,ChEMBL_T_2491,Werner syndrome ATP-dependent helicase,CHEMBL2146312,Q14191,65.71,67.65,Type 4,CHEMBL215842 : ,Homo sapiens,CCN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccccc3Cl)c3ccccc32)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL5205340,ChEMBL_T_2544,Histone-lysine N-methyltransferase EZH2,CHEMBL2189110,Q15910,60.0,60.0,Type 4,CHEMBL5205340 : ,Homo sapiens,CCN1CCN(c2ccc(-c3cc(=O)c4c(O)cc(O)c(Oc5c(C)n[nH]c5C)c4o3)cc2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL3085831,ChEMBL_T_292,Tripeptidyl-peptidase 2,Unknown,Unknown,60.0,60.0,Type 4,CHEMBL3085831 : ,Mus musculus,CCN1CCN(C(C)(C)c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(C3=CCC(C)(C)CC3)c2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
Hoechst,CHEMBL3729846,ChEMBL_T_2622,Nicotinamide N-methyltransferase,CHEMBL2346486,P40261,60.0,53.85,Type 4,CHEMBL3729846 : ,Homo sapiens,CCN1CCN(c2ncc(-c3cccc([C@H](C)Nc4cc(-c5ccc6ncsc6c5)nc(C)n4)c3)cn2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
PDS,CHEMBL4282498,ChEMBL_T_2003,Bromodomain adjacent to zinc finger domain protein 2B,CHEMBL1741220,Q9UIF8,26.92,58.33,Type 2,CHEMBL4282498 : ,Homo sapiens,Cc1ccc(OCC(=N)N)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL4754273,ChEMBL_T_3118,Tyrosyl-DNA phosphodiesterase 1,Unknown,Unknown,34.62,69.23,Type 2,CHEMBL4754273 : ,Homo sapiens,Cc1ccc(-c2n[nH]c(=O)o2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL4078590,ChEMBL_T_3117,Alpha-synuclein,Unknown,Unknown,34.62,69.23,Type 2,CHEMBL4078590 : ,Homo sapiens,Cc1ccc(-c2c[nH]c(=S)s2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL4286140,ChEMBL_T_1897,Survival motor neuron protein,CHEMBL1293232,Q16637,38.46,71.43,Type 2,CHEMBL4286140 : ,Homo sapiens,Cc1ccc(-c2c(N)n[nH]c2C)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL1569691,ChEMBL_T_2045,Ubiquitin carboxyl-terminal hydrolase 1,CHEMBL1795087,O94782,42.31,68.75,Type 2,CHEMBL1569691 : ,Homo sapiens,Cc1ccc(N2C(=O)CC(=O)NC2=O)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL3822483,ChEMBL_T_2579,D-3-phosphoglycerate dehydrogenase,CHEMBL2311243,O43175,34.62,56.25,Type 2,CHEMBL3822483 : ,Homo sapiens,Cc1ccc(N2C=CCC(C(N)=O)=C2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL4210122,ChEMBL_T_294,Macrophage colony-stimulating factor 1 receptor,Unknown,Unknown,61.54,100.0,Type 2,CHEMBL4210122 : ,Mus musculus,Cc1ccc(-c2cc3ccccc3[nH]2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL2313635,ChEMBL_T_2262,Cyclooxygenase,CHEMBL2094253,P23219,57.69,88.24,Type 2,CHEMBL2313635 : ,Homo sapiens,Cc1ccc(Nc2c(C)cc(C)cc2C)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL21778,ChEMBL_T_2044,Ataxin-2,CHEMBL1795085,Q99700,42.31,64.71,Type 2,CHEMBL21778 : ,Homo sapiens,CCc1nc(N)nc(N)c1-c1ccc(C)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL5075559,ChEMBL_T_2286,SUMO-activating enzyme,CHEMBL2095174,Q9UBT2,46.15,66.67,Type 2,CHEMBL5075559 : ,Homo sapiens,Cc1ccc(-c2ncc(/C=C/C(=O)NO)s2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL2419896,ChEMBL_T_1918,Bromodomain-containing protein 2,CHEMBL1293289,P25440,61.54,88.89,Type 2,CHEMBL2419896 : ,Homo sapiens,Cc1ccc(-c2nc3c(c(=O)[nH]2)COCC3)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL4166199,ChEMBL_T_2317,Serotonin 1 receptors; 5-HT1B & 5-HT1D,CHEMBL2095230,P28221,53.85,77.78,Type 2,CHEMBL4166199 : ,Homo sapiens,Cc1ccc(-n2nc(C)c3conc3c2=O)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL4557901,ChEMBL_T_2243,Integrin alpha-IIb/beta-3,CHEMBL2093869,P08514,38.46,55.56,Type 2,CHEMBL4557901 : ,Homo sapiens,Cc1ccc(Nc2ncc3c(n2)CCCC3)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL1526456,ChEMBL_T_1319,Neuropeptide S receptor,CHEMBL5162,Q6W5P4,34.62,50.0,Type 2,CHEMBL1526456 : ,Mus musculus,Cc1ccc(-n2nnc(-c3cccnc3)n2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL1642294,ChEMBL_T_2166,DNA dC->dU-editing enzyme APOBEC-3F,CHEMBL2007626,Q8IUX4,53.85,73.68,Type 2,CHEMBL1642294 : ,Mus musculus,Cc1ccc(-c2cn(C3CCCCC3=O)nn2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL2331945,ChEMBL_T_2425,Dopamine D2 receptor and serotonin 2a receptor,CHEMBL2111468,P28223,38.46,52.63,Type 2,CHEMBL2331945 : ,Homo sapiens,Cc1ccc(Nc2nc(-c3ccccc3)no2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL591731,ChEMBL_T_2001,DNA dC->dU-editing enzyme APOBEC-3G,CHEMBL1741217,Q9HC16,53.85,73.68,Type 2,CHEMBL591731 : ,Homo sapiens,Cc1ccc(-n2nc(C)c3c(C)onc3c2=O)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL4741253,ChEMBL_T_1894,Ubiquitin carboxyl-terminal hydrolase 2,CHEMBL1293227,O75604,42.31,57.89,Type 2,CHEMBL4741253 : ,Homo sapiens,Cc1ccc(-c2ccc(-c3coc(C)n3)cc2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL3970555,ChEMBL_T_2487,Glycoprotein hormones alpha chain,CHEMBL2146305,P01215,50.0,65.0,Type 2,CHEMBL3970555 : ,Homo sapiens,Cc1ccc(-c2cc3c(C(=O)O)c[nH]c3cc2Cl)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL4552497,ChEMBL_T_1892,Microtubule-associated protein tau,CHEMBL1293224,P10636,50.0,65.0,Type 2,CHEMBL4552497 : ,Homo sapiens,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](Nc2ccc(C)cc2)[C@H]1O,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL211913,ChEMBL_T_2411,CDK6/cyclin D3,CHEMBL2111448,Q00534,38.46,50.0,Type 2,CHEMBL211913 : ,Homo sapiens,Cc1ccc(Nc2nc(-n3cc(C)nc3C)cs2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL188035,ChEMBL_T_2486,"Glutaminase kidney isoform, mitochondrial",CHEMBL2146302,O94925,61.54,76.19,Type 2,CHEMBL188035 : ,Homo sapiens,Cc1ccc(-n2cc3c(O)nc4ccccc4c3n2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL4164252,ChEMBL_T_2239,Phosphodiesterase 4,CHEMBL2093863,Q08493,53.85,66.67,Type 2,CHEMBL4164252 : ,Homo sapiens,Cc1ccc(Nc2cncc(N3CC4CC(C3)N4)c2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL3408794,ChEMBL_T_2242,Protein kinase C (PKC),CHEMBL2093867,Q04759,61.54,76.19,Type 2,CHEMBL3408794 : ,Homo sapiens,Cc1ccc(-c2cnc3sc4c(N)ncnc4c3c2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL507682,ChEMBL_T_2278,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 1,CHEMBL2095162,Q15788,57.69,71.43,Type 2,CHEMBL507682 : ,Homo sapiens,Cc1ccc(-c2cn(CCCCCC(=O)NO)nn2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL4227799,ChEMBL_T_1898,Prelamin-A/C,CHEMBL1293235,P02545,57.69,71.43,Type 2,CHEMBL4227799 : ,Homo sapiens,Cc1ccc(-c2ccnn2-c2cc(C(=O)O)ccn2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL4754850,ChEMBL_T_2260,cAMP-dependent protein kinase (PKA),CHEMBL2094138,P22612,42.31,50.0,Type 2,CHEMBL4754850 : ,Homo sapiens,CCN(CC)CCNC(=O)c1cn(-c2ccc(C)cc2)nn1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL3813936,ChEMBL_T_2306,Trypsin,CHEMBL2095204,P35030,61.54,72.73,Type 2,CHEMBL3813936 : ,Homo sapiens,Cc1ccc(-c2ncn(CC3CC3)c2-c2ccncc2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL3314459,ChEMBL_T_2256,Cyclin-dependent kinase 2/cyclin A,CHEMBL2094128,P78396,65.38,77.27,Type 2,CHEMBL3314459 : ,Homo sapiens,Cc1ccc(-c2nc(-c3ccc4[nH]c(=O)oc4c3)cs2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL3195844,ChEMBL_T_1921,Ras-related protein Rab-9A,CHEMBL1293294,P51151,50.0,56.52,Type 2,CHEMBL3195844 : ,Homo sapiens,Cc1ccc(-n2ncc(C#N)c2/N=C/N2CCCCCC2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL3422446,ChEMBL_T_2237,Menin/Histone-lysine N-methyltransferase MLL,CHEMBL2093861,Q03164,57.69,65.22,Type 2,CHEMBL3422446 : ,Saccharomyces cerevisiae,Cc1ccc(-c2cc(C(=O)O)nn2-c2ccc(Cl)c(Cl)c2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL3962969,ChEMBL_T_2398,Epidermal growth factor receptor and ErbB2 (HER1 and HER2),CHEMBL2111431,P00533,73.08,82.61,Type 2,CHEMBL3962969 : ,Homo sapiens,Cc1ccc(-c2nc3ccc(F)cn3c2CC(=O)N(C)C)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL383893,ChEMBL_T_2322,Bcr/Abl fusion protein,CHEMBL2096618,P11274,65.38,73.91,Type 2,CHEMBL383893 : ,Homo sapiens,Cc1ccc(Nc2nccc(-c3c[nH]c4ncccc34)n2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
PDS,CHEMBL4065991,ChEMBL_T_2341,"AMP-activated protein kinase, AMPK",CHEMBL2096907,Q9UGI9,65.38,73.91,Type 2,CHEMBL4065991 : ,Homo sapiens,Cc1ccc(-c2nc3ccccn3c2NC2CCCCC2)cc1,*c1ccc(C)cc1,CC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N
