Rank,Tier,Target,E3 ligase,Warhead name,Warhead SMILES,Warhead source,E3 ligand name,E3 ligand SMILES,Linker SMILES,Linker class,Full PROTAC SMILES,Assembly strategy,Reaction class,Validity status,MW,TPSA,logP,HBD,HBA,Rotatable bonds,Predicted DC50 nM,Predicted Dmax %,Degradation confidence,Applicability domain,hERG risk,AMES risk,DILI risk,Solubility risk,Novelty score,Nearest known PROTAC similarity,Ternary feasibility score,Synthetic feasibility score,Final priority score,Warning flags,Reason for ranking
11,Tier 1,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCNC(=O)N1CCN(CC1)CC[*:2],piperazine,Cc1ccnc(NC(=O)c2ccccc2)c1CCNC(=O)N1CCN(CC1)CCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,536.95,140.0,-0.78,0,10,5,33.28,80.2,0.733,0.636,low,low,low,low,0.553,0.447,0.0,0.651,0.723,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.80, ADME score 0.98, novelty 0.55, synthetic 0.65."
12,Tier 1,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCN1CCN(CC1)CC[*:2],piperazine,Cc1ccnc(NC(=O)c2ccccc2)c1CCN1CCN(CC1)CCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,493.53,111.0,-0.46,0,8,3,33.28,80.2,0.705,0.542,low,low,low,low,0.533,0.467,0.0,0.687,0.723,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.80, ADME score 0.98, novelty 0.53, synthetic 0.69."
13,Tier 1,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCN1CCN(CC1)CC[*:2],piperazine,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCN1CCN(CC1)CCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,668.86,157.0,-0.45,0,11,11,33.28,80.2,0.787,0.818,low,low,low,low,0.571,0.429,0.0,0.691,0.721,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.80, ADME score 0.94, novelty 0.57, synthetic 0.69."
14,Tier 1,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCOCC[*:2],PEG,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCOCCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,600.01,121.0,0.02,0,8,13,31.93,80.7,0.767,0.75,low,low,low,low,0.518,0.482,0.0,0.729,0.721,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.95, novelty 0.52, synthetic 0.73."
15,Tier 1,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCNC(=O)N1CCN(CC1)CC[*:2],piperazine,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCNC(=O)N1CCN(CC1)CCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,668.86,157.0,-0.45,0,11,11,33.28,80.2,0.787,0.818,low,low,low,low,0.566,0.434,0.0,0.671,0.72,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.80, ADME score 0.94, novelty 0.57, synthetic 0.67."
16,Tier 1,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCOCCOCCOCC[*:2],PEG,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCOCCOCCOCCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,688.84,184.0,-0.64,0,12,18,33.19,79.3,0.778,0.786,low,low,low,low,0.627,0.373,0.0,0.7,0.72,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.79, ADME score 0.91, novelty 0.63, synthetic 0.70."
17,Tier 1,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCOCC[*:2],PEG,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCOCCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,559.78,121.0,-0.09,0,8,10,31.93,80.7,0.748,0.687,low,low,low,low,0.457,0.543,0.0,0.761,0.72,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.97, novelty 0.46, synthetic 0.76."
18,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCN1CCN(CC1)CC[*:2],piperazine,Cc1ccnc(NC(=O)c2ccccc2)c1CCN1CCN(CC1)CCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,536.95,140.0,-0.78,0,10,5,33.28,80.2,0.733,0.636,low,low,low,low,0.5,0.5,0.0,0.671,0.719,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.80, ADME score 0.98, novelty 0.50, synthetic 0.67."
19,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCC[*:2],alkyl,Cc1ccnc(NC(=O)c2ccccc2)c1CCCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,441.88,116.0,-0.6,0,8,4,42.68,76.9,0.701,0.531,low,low,low,low,0.638,0.362,0.0,0.743,0.719,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.98, novelty 0.64, synthetic 0.74."
20,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCCC[*:2],alkyl,Cc1ccnc(NC(=O)c2ccccc2)c1CCCCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,455.29,116.0,-0.56,0,8,5,42.68,76.9,0.708,0.552,low,low,low,low,0.638,0.362,0.0,0.734,0.718,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.98, novelty 0.64, synthetic 0.73."
21,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCOCCOCC[*:2],PEG,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCOCCOCCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,642.83,138.0,-0.09,0,9,16,31.93,80.7,0.778,0.788,low,low,low,low,0.518,0.482,0.0,0.711,0.717,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.93, novelty 0.52, synthetic 0.71."
22,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCC[*:2],alkyl,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,573.79,133.0,-0.27,0,9,10,42.68,76.9,0.756,0.713,low,low,low,low,0.636,0.364,0.0,0.763,0.717,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.97, novelty 0.64, synthetic 0.76."
23,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCn1nncc1CC[*:2],triazole,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCn1nncc1CCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,599.22,140.0,-0.41,0,10,5,36.16,79.1,0.744,0.673,low,low,low,low,0.538,0.462,0.0,0.684,0.717,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.70, Dmax score 0.79, ADME score 0.98, novelty 0.54, synthetic 0.68."
24,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCCCCC[*:2],alkyl,Cc1ccnc(NC(=O)c2ccccc2)c1CCCCCCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,482.11,116.0,-0.49,0,8,7,42.68,76.9,0.72,0.594,low,low,low,low,0.638,0.362,0.0,0.707,0.717,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.98, novelty 0.64, synthetic 0.71."
25,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCOCCOCC[*:2],PEG,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCOCCOCCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,602.6,138.0,-0.2,0,9,13,31.93,80.7,0.775,0.777,low,low,low,low,0.457,0.543,0.0,0.743,0.716,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.95, novelty 0.46, synthetic 0.74."
26,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCCC[*:2],alkyl,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCCCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,587.2,133.0,-0.23,0,9,11,42.68,76.9,0.762,0.734,low,low,low,low,0.636,0.364,0.0,0.754,0.716,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.96, novelty 0.64, synthetic 0.75."
27,Tier 2,BRD4,CRBN,BRD4_demo_triazolobenzodiazepine_like,Cc1cc([*:1])nc(NC(=O)c2ccccc2)c1,local_demo_bromodomain_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCNC(=O)N1CCN(CC1)CC[*:2],piperazine,Cc1ccnc(NC(=O)c2ccccc2)c1CCNC(=O)N1CCN(CC1)CCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,580.37,169.0,-1.11,0,12,7,33.28,80.2,0.753,0.704,low,low,low,low,0.5,0.5,0.0,0.635,0.716,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.80, ADME score 0.98, novelty 0.50, synthetic 0.64."
28,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_pomalidomide_like,O=C1NC(=O)c2ccc([*:1])cc21,[*:1]CCOCCOCCOCC[*:2],PEG,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCOCCOCCOCCO=C1NC(=O)c2ccccc21,curated_template,amide_or_ether_coupling,unverified_no_rdkit,645.42,155.0,-0.31,0,10,16,31.93,80.7,0.786,0.814,low,low,low,low,0.457,0.543,0.0,0.716,0.712,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.93, novelty 0.46, synthetic 0.72."
29,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCOCCOCCOCC[*:2],PEG,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCOCCOCCOCCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,685.65,155.0,-0.2,0,10,19,32.97,80.7,0.782,0.799,low,low,low,low,0.518,0.482,0.0,0.684,0.712,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.71, Dmax score 0.81, ADME score 0.91, novelty 0.52, synthetic 0.68."
30,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCCCCC[*:2],alkyl,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCCCCCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,614.02,133.0,-0.16,0,9,13,42.68,76.9,0.775,0.776,low,low,low,low,0.636,0.364,0.0,0.727,0.712,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.68, Dmax score 0.77, ADME score 0.95, novelty 0.64, synthetic 0.73."
31,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_lenalidomide_like,NC(=O)c1ccc2C(=O)N([*:1])C(=O)c2c1,[*:1]CCNC(=O)N1CCN(CC1)CC[*:2],piperazine,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCNC(=O)N1CCN(CC1)CCNC(=O)c1ccc2C(=O)NC(=O)c2c1,curated_template,amide_or_ether_coupling,unverified_no_rdkit,712.28,186.0,-0.78,0,13,13,34.79,78.5,0.793,0.837,low,low,low,low,0.571,0.429,0.0,0.655,0.711,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.70, Dmax score 0.79, ADME score 0.93, novelty 0.57, synthetic 0.66."
32,Tier 2,BRD4,CRBN,BRD4_demo_JQ1_like,COc1cc([*:1])cc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1,local_demo_jq1_like_warhead,CRBN_demo_avado_like,CC(C)N1C(=O)c2ccc([*:1])cc2C1=O,[*:1]CCn1nncc1CC[*:2],triazole,COc1cccc(C(=O)N2CCN(CC2)c2ccc(Cl)cc2)c1CCn1nncc1CCCC(C)N1C(=O)c2ccccc2C1=O,curated_template,amide_or_ether_coupling,unverified_no_rdkit,639.45,140.0,-0.31,0,10,8,36.16,79.1,0.763,0.737,low,low,low,low,0.525,0.475,0.0,0.652,0.711,rdkit_unavailable_unverified_smiles;install_rdkit_for_chemical_validation;rdkit_not_installed,"DC50 score 0.70, Dmax score 0.79, ADME score 0.96, novelty 0.53, synthetic 0.65."
